acc_condition,NAAG_acc,mI_acc
1,0.231842250496488,102.396.433.870.151
1,0.179785928408451,131.222.161.819.297
1,0.495421209251221,132.747.715.620.514
1,0.181155644862036,109.751.579.400.763
1,0.222534142719911,137.801.055.610.987
1,0.155459304427199,0.979371709769284
1,0.127373917756002,0.981978776295345
1,0.225203736994825,12.999.053.399.171
1,0.136198139280315,105.982.061.343.147
1,0.0504567327961981,112.308.923.573.251
1,0.131026307062473,104.512.650.516.865
1,0.2264137942366,0.946311834305268
1,0.210751133444702,105.047.285.026.109
1,0.192174404659941,11.345.187.564.102
1,0.188712274056831,122.989.388.497.274
1,0.197353865944111,121.268.066.989.949
1,0.185788721971832,112.600.880.883.676
1,0.166271604140591,110.250.539.015.033
1,0.161747294459542,12.488.415.840.073
1,0.21671624736036,127.190.490.662.518
1,0.160922240233068,120.492.701.872.345
1,0.275671032847655,0.708151826499943
1,0.184541224508595,107.844.941.551.323
1,0.165097617713898,106.524.918.136.407
1,0.183525498039907,111.590.680.535.427
0,0.214418618766613,112.420.189.193.351
0,0.296635968263965,121.643.521.078.126
0,0.0953107487804265,122.310.286.330.302
0,0.238041359628546,107.823.676.080.098
0,0.24209819998652,112.493.379.646.363
0,0.382002925377642,123.552.662.385.558
0,0.293289216744276,122.695.788.675.578
0,0.229594085541692,12.013.203.810.083
0,0.217328894832524,111.257.820.685.726
0,0.0932664510809175,113.238.420.241.822
0,0.228069916855765,116.311.095.534.637
0,0.204687695385397,12.987.615.144.319
0,0.255810161925716,127.134.717.352.451
0,0.181541298662551,125.932.826.580.859
0,0.23206671087552,0.968984433271382
0,0.263461551782323,115.738.271.801.582
0,0.375683688742206,158.495.854.900.032